"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it.",Steve Jobs
The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart.,Helen Keller
Believe you can and you're halfway there.,Theodore Roosevelt
"Thousands of candles can be lighted from a single candle, and the life of the candle will not be shortened. Happiness never decreases by being shared.",Buddha
"My mission in life is not merely to survive, but to thrive; and to do so with some passion, some compassion, some humor, and some style.",Maya Angelou
"We know what we are, but know not what we may be.",William Shakespeare
"If a man does not keep pace with his companions, perhaps it is because he hears a different drummer. Let him step to the music which he hears, however measured or far away.",Henry David Thoreau
"What lies behind you and what lies in front of you, pales in comparison to what lies inside of you.",Ralph Waldo Emerson
"In a gentle way, you can shake the world.",Mahatma Gandhi
"Health is the greatest gift, contentment the greatest wealth, faithfulness the best relationship.",Buddha
"I hated every minute of training, but I said, 'Don't quit. Suffer now and live the rest of your life as a champion.'",Muhammad Ali
Try to be a rainbow in someone's cloud.,Maya Angelou
It is during our darkest moments that we must focus to see the light.,Aristotle
You must do the things you think you cannot do.,Eleanor Roosevelt
"What we think, we become.",Buddha
"As we express our gratitude, we must never forget that the highest appreciation is not to utter words, but to live by them.",John F. Kennedy
Keep your face always toward the sunshine - and shadows will fall behind you.,Walt Whitman
"Nothing is impossible, the word itself says 'I'm possible'!",Audrey Hepburn
"I believe in pink. I believe that laughing is the best calorie burner. I believe in kissing, kissing a lot. I believe in being strong when everything seems to be going wrong. I believe that happy girls are the prettiest girls. I believe that tomorrow is another day and I believe in miracles.",Audrey Hepburn
The power of imagination makes us infinite.,John Muir
"If I have seen further than others, it is by standing upon the shoulders of giants.",Isaac Newton
Start by doing what's necessary; then do what's possible; and suddenly you are doing the impossible.,Francis of Assisi
"We must let go of the life we have planned, so as to accept the one that is waiting for us.",Joseph Campbell
"Clouds come floating into my life, no longer to carry rain or usher storm, but to add color to my sunset sky.",Rabindranath Tagore
Everyone has inside of him a piece of good news. The good news is that you don't know how great you can be! How much you can love! What you can accomplish! And what your potential is!,Anne Frank
"Give light, and the darkness will disappear of itself.",Desiderius Erasmus
Live your beliefs and you can turn the world around.,Henry David Thoreau
"A place for everything, everything in its place.",Benjamin Franklin
"Once I knew only darkness and stillness... my life was without past or future... but a little word from the fingers of another fell into my hand that clutched at emptiness, and my heart leaped to the rapture of living.",Helen Keller
Health is the greatest possession. Contentment is the greatest treasure. Confidence is the greatest friend. Non-being is the greatest joy.,Lao Tzu
The measure of who we are is what we do with what we have.,Vince Lombardi
"Perfection is not attainable, but if we chase perfection we can catch excellence.",Vince Lombardi
We convince by our presence.,Walt Whitman
"Two roads diverged in a wood and I - I took the one less traveled by, and that has made all the difference.",Robert Frost
Someone is sitting in the shade today because someone planted a tree a long time ago.,Warren Buffett
Today is the only day. Yesterday is gone.,John Wooden
I dwell in possibility.,Emily Dickinson
Happiness is not something you postpone for the future; it is something you design for the present.,Jim Rohn
"We can change our lives. We can do, have, and be exactly what we wish.",Tony Robbins
A single sunbeam is enough to drive away many shadows.,Francis of Assisi
A hero is someone who has given his or her life to something bigger than oneself.,Joseph Campbell
It is never too late to be what you might have been.,George Eliot
Noble deeds that are concealed are most esteemed.,Blaise Pascal
There is nothing impossible to him who will try.,Alexander the Great
"Once we believe in ourselves, we can risk curiosity, wonder, spontaneous delight, or any experience that reveals the human spirit.",e. e. cummings
Every moment and every event of every man's life on earth plants something in his soul.,Thomas Merton
"No act of kindness, no matter how small, is ever wasted.",Aesop
How wonderful it is that nobody need wait a single moment before starting to improve the world.,Anne Frank
I believe that one defines oneself by reinvention. To not be like your parents. To not be like your friends. To be yourself. To cut yourself out of stone.,Henry Rollins
The best preparation for tomorrow is doing your best today.,"H. Jackson Brown, Jr."
"All you need is the plan, the road map, and the courage to press on to your destination.",Earl Nightingale
"Memories of our lives, of our works and our deeds will continue in others.",Rosa Parks
The limits of the possible can only be defined by going beyond them into the impossible.,Arthur C. Clarke
God always gives His best to those who leave the choice with him.,Jim Elliot
"If opportunity doesn't knock, build a door.",Milton Berle
Your present circumstances don't determine where you can go; they merely determine where you start.,Nido Qubein
Everything you want is out there waiting for you to ask. Everything you want also wants you. But you have to take action to get it.,Jules Renard
Reach for it. Push yourself as far as you can.,Christa McAuliffe
One today is worth two tomorrows.,Benjamin Franklin
"To the mind that is still, the whole universe surrenders.",Lao Tzu
"Look within. Within is the fountain of good, and it will ever bubble up, if thou wilt ever dig.",Marcus Aurelius
"Accept the things to which fate binds you, and love the people with whom fate brings you together, but do so with all your heart.",Marcus Aurelius
Each day provides its own gifts.,Marcus Aurelius
With self-discipline most anything is possible.,Theodore Roosevelt
"We can't help everyone, but everyone can help someone.",Ronald Reagan
Thinking: the talking of the soul with itself.,Plato
The glow of one warm thought is to me worth more than money.,Thomas Jefferson
Everyone here has the sense that right now is one of those moments when we are influencing the future.,Steve Jobs
"If you accept the expectations of others, especially negative ones, then you never will change the outcome.",Michael Jordan
Nothing is worth more than this day.,Johann Wolfgang von Goethe
Love and desire are the spirit's wings to great deeds.,Johann Wolfgang von Goethe
I love those who yearn for the impossible.,Johann Wolfgang von Goethe
"Every day we should hear at least one little song, read one good poem, see one exquisite picture, and, if possible, speak a few sensible words.",Johann Wolfgang von Goethe
Miracles are a retelling in small letters of the very same story which is written across the whole world in letters too large for some of us to see.,C. S. Lewis
"I celebrate myself, and sing myself.",Walt Whitman
"Yesterday we obeyed kings and bent our necks before emperors. But today we kneel only to truth, follow only beauty, and obey only love.",Khalil Gibran
"Love is a fruit in season at all times, and within reach of every hand.",Mother Teresa
Men must live and create. Live to the point of tears.,Albert Camus
"No matter what people tell you, words and ideas can change the world.",Robin Williams
How glorious a greeting the sun gives the mountains!,John Muir
"If you always put limit on everything you do, physical or anything else. It will spread into your work and into your life. There are no limits. There are only plateaus, and you must not stay there, you must go beyond them.",Bruce Lee
The best way out is always through.,Robert Frost
"Cherish your visions and your dreams as they are the children of your soul, the blueprints of your ultimate achievements.",Napoleon Hill
Your big opportunity may be right where you are now.,Napoleon Hill
Shoot for the moon and if you miss you will still be among the stars.,Les Brown
Only those who have learned the power of sincere and selfless contribution experience life's deepest joy: true fulfillment.,Tony Robbins
It is in your moments of decision that your destiny is shaped.,Tony Robbins
"If we did all the things we are capable of, we would literally astound ourselves.",Thomas A. Edison
"Ah, but a man's reach should exceed his grasp, Or what's a heaven for?",Robert Browning
A compliment is something like a kiss through a veil.,Victor Hugo
"Even if I knew that tomorrow the world would go to pieces, I would still plant my apple tree.",Martin Luther
What makes the desert beautiful is that somewhere it hides a well.,Antoine de Saint-Exupery
Follow your bliss and the universe will open doors where there were only walls.,Joseph Campbell
Turn your face to the sun and the shadows fall behind you.,Unknown
"As people are walking all the time, in the same spot, a path appears.",John Locke
"It seems to me we can never give up longing and wishing while we are thoroughly alive. There are certain things we feel to be beautiful and good, and we must hunger after them.",George Eliot
The things that we love tell us what we are.,Thomas Aquinas
We have it in our power to begin the world over again.,Thomas Paine
Do your little bit of good where you are; it's those little bits of good put together that overwhelm the world.,Desmond Tutu
Your ordinary acts of love and hope point to the extraordinary promise that every human life is of inestimable value.,Desmond Tutu
The world is full of magical things patiently waiting for our wits to grow sharper.,Bertrand Russell
"If the doors of perception were cleansed everything would appear to man as it is, infinite.",William Blake
Nurture your minds with great thoughts. To believe in the heroic makes heroes.,Benjamin Disraeli
Let your life lightly dance on the edges of Time like dew on the tip of a leaf.,Rabindranath Tagore
"Lord, grant that I may always desire more than I can accomplish.",Michelangelo
Vitality shows in not only the ability to persist but the ability to start over.,F. Scott Fitzgerald
Let us sacrifice our today so that our children can have a better tomorrow.,A. P. J. Abdul Kalam
The bird is powered by its own life and by its motivation.,A. P. J. Abdul Kalam
A #2 pencil and a dream can take you anywhere.,Joyce Meyer
Belief creates the actual fact.,William James
"The fact that I can plant a seed and it becomes a flower, share a bit of knowledge and it becomes another's, smile at someone and receive a smile in return, are to me continual spiritual exercises.",Leo Buscaglia
Most of us have far more courage than we ever dreamed we possessed.,Dale Carnegie
The only journey is the one within.,Rainer Maria Rilke
God loves to help him who strives to help himself.,Aeschylus
From a small seed a mighty trunk may grow.,Aeschylus
"I thank you God for this most amazing day, for the leaping greenly spirits of trees, and for the blue dream of sky and for everything which is natural, which is infinite, which is yes.",e. e. cummings
Change your thoughts and you change your world.,Norman Vincent Peale
"When we seek to discover the best in others, we somehow bring out the best in ourselves.",William Arthur Ward
Whoever is happy will make others happy too.,Anne Frank
"In oneself lies the whole world and if you know how to look and learn, the door is there and the key is in your hand. Nobody on earth can give you either the key or the door to open, except yourself.",Jiddu Krishnamurti
Don't judge each day by the harvest you reap but by the seeds that you plant.,Robert Louis Stevenson
"Every heart that has beat strongly and cheerfully has left a hopeful impulse behind it in the world, and bettered the tradition of mankind.",Robert Louis Stevenson
Act like you expect to get into the end zone.,Christopher Morley
I am deliberate and afraid of nothing.,Audre Lorde
I've been absolutely terrified every moment of my life - and I've never let it keep me from doing a single thing I wanted to do.,Georgia O'Keeffe
"From what we get, we can make a living; what we give, however, makes a life.",Arthur Ashe
"I will love the light for it shows me the way, yet I will endure the darkness because it shows me the stars.",Og Mandino
"When the sun is shining I can do anything; no mountain is too high, no trouble too difficult to overcome.",Wilma Rudolph
"You don't look out there for God, something in the sky, you look in you.",Alan Watts
"You are always free to change your mind and choose a different future, or a different past.",Richard Bach
"The meaning I picked, the one that changed my life: Overcome fear, behold wonder.",Richard Bach
"And above all things, never think that you're not good enough yourself. A man should never think that. My belief is that in life people will take you at your own reckoning.",Isaac Asimov
We are here to make another world.,W. Edwards Deming
Every charitable act is a stepping stone toward heaven.,Henry Ward Beecher
Tears are often the telescope by which men see far into heaven.,Henry Ward Beecher
Tomorrow is the most important thing in life. Comes into us at midnight very clean. It's perfect when it arrives and it puts itself in our hands. It hopes we've learned something from yesterday.,John Wayne
"Let every dawn be to you as the beginning of life, and every setting sun be to you as its close.",John Ruskin
"Keep all special thoughts and memories for lifetimes to come. Share these keepsakes with others to inspire hope and build from the past, which can bridge to the future.",Mattie Stepanek
I believe every human has a finite number of heartbeats. I don't intend to waste any of mine.,Neil Armstrong
"When you have a dream, you've got to grab it and never let go.",Carol Burnett
"Let us remember: One book, one pen, one child, and one teacher can change the world.",Malala Yousafzai
"Let us make our future now, and let us make our dreams tomorrow's reality.",Malala Yousafzai
I want to make this world perfect.,Malala Yousafzai
Great hopes make great men.,Thomas Fuller
Prayer is man's greatest power!,W. Clement Stone
What great thing would you attempt if you knew you could not fail?,Robert H. Schuller
It is by acts and not by ideas that people live.,Anatole France
"Find out who you are and be that person. That's what your soul was put on this Earth to be. Find that truth, live that truth and everything else will come.",Ellen DeGeneres
"A man has to learn that he cannot command things, but that he can command himself; that he cannot coerce the wills of others, but that he can mold and master his own will: and things serve him who serves Truth; people seek guidance of him who is master of himself.",James Allen
"Of all things visible, the highest is the heaven of the fixed stars.",Nicolaus Copernicus
What we achieve inwardly will change outer reality.,Plutarch
The only way to discover the limits of the possible is to go beyond them into the impossible.,Arthur C. Clarke
"I can't change the direction of the wind, but I can adjust my sails to always reach my destination.",Jimmy Dean
"A human being has so many skins inside, covering the depths of the heart. We know so many things, but we don't know ourselves! Why, thirty or forty skins or hides, as thick and hard as an ox's or bear's, cover the soul. Go into your own ground and learn to know yourself there.",Meister Eckhart
"Don't limit yourself. Many people limit themselves to what they think they can do. You can go as far as your mind lets you. What you believe, remember, you can achieve.",Mary Kay Ash
"When you get into a tight place and everything goes against you, till it seems as though you could not hang on a minute longer, never give up then, for that is just the place and time that the tide will turn.",Harriet Beecher Stowe
